SalesOrderID,ProductID,OrderQty,UnitPrice,TerritoryID
43698,773,1,3399.99,7
43701,773,1,3399.99,9
43703,749,1,3578.27,9
43704,778,1,3374.99,9
43705,771,1,3399.99,9
43708,764,1,699.0982,10
43709,752,1,3578.27,9
43710,753,1,3578.27,9
43712,750,1,3578.27,8
43714,750,1,3578.27,10
43715,753,1,3578.27,9
43716,750,1,3578.27,9
43717,767,1,699.0982,9
43720,750,1,3578.27,8
43721,749,1,3578.27,10
43722,751,1,3578.27,10
43724,750,1,3578.27,9
43725,750,1,3578.27,8
43727,750,1,3578.27,9
43729,773,1,3399.99,10
43731,753,1,3578.27,9
43732,777,1,3374.99,9
43735,749,1,3578.27,9
43736,773,1,3399.99,9
43737,750,1,3578.27,8
43738,751,1,3578.27,7
43739,749,1,3578.27,10
43740,751,1,3578.27,9
43742,753,1,3578.27,10
43743,774,1,3399.99,9
43744,752,1,3578.27,9
43745,750,1,3578.27,9
43746,751,1,3578.27,9
43750,750,1,3578.27,7
43751,752,1,3578.27,7
43752,750,1,3578.27,8
43753,749,1,3578.27,9
43756,765,1,699.0982,10
43757,777,1,3374.99,9
43759,749,1,3578.27,8
43760,753,1,3578.27,9
43761,749,1,3578.27,9
43763,752,1,3578.27,9
43764,749,1,3578.27,9
43765,773,1,3399.99,9
43766,752,1,3578.27,9
43767,777,1,3374.99,9
43772,751,1,3578.27,9
43773,753,1,3578.27,9
43774,752,1,3578.27,9
43775,774,1,3399.99,9
43776,753,1,3578.27,8
43777,750,1,3578.27,9
43778,772,1,3399.99,9
43779,762,1,699.0982,9
43780,750,1,3578.27,7
43781,751,1,3578.27,9
43782,751,1,3578.27,9
43783,751,1,3578.27,9
43785,750,1,3578.27,7
43786,750,1,3578.27,7
43787,771,1,3399.99,8
43788,778,1,3374.99,10
43791,753,1,3578.27,9
43792,751,1,3578.27,9
43793,771,1,3399.99,9
43794,774,1,3399.99,9
43796,770,1,699.0982,7
43797,751,1,3578.27,9
43798,749,1,3578.27,9
43799,751,1,3578.27,9
43801,750,1,3578.27,10
43802,751,1,3578.27,7
43804,749,1,3578.27,10
43806,751,1,3578.27,9
43807,751,1,3578.27,7
43808,752,1,3578.27,8
43809,749,1,3578.27,9
43810,772,1,3399.99,9
43811,773,1,3399.99,9
43813,777,1,3374.99,7
43815,750,1,3578.27,9
43816,753,1,3578.27,9
43817,749,1,3578.27,9
43818,751,1,3578.27,9
43819,773,1,3399.99,9
43823,770,1,699.0982,10
43825,752,1,3578.27,9
43826,775,1,3374.99,9
43827,768,1,699.0982,9
43830,750,1,3578.27,9
43831,776,1,3374.99,9
43832,749,1,3578.27,10
43834,775,1,3374.99,7
43837,777,1,3374.99,9
43840,762,1,699.0982,7
