SalesOrderID,ProductID,OrderQty,UnitPrice,TerritoryID
43659,776,1,2024.994,5
43659,777,3,2024.994,5
43659,778,1,2024.994,5
43659,771,1,2039.994,5
43659,772,1,2039.994,5
43659,773,2,2039.994,5
43659,774,1,2039.994,5
43659,714,3,28.8404,5
43659,716,1,28.8404,5
43659,709,6,5.7,5
43659,712,2,5.1865,5
43659,711,4,20.1865,5
43660,762,1,419.4589,5
43660,758,1,874.794,5
43661,745,1,809.76,6
43661,743,1,714.7043,6
43661,747,2,714.7043,6
43661,712,4,5.1865,6
43661,715,4,28.8404,6
43661,742,2,722.5949,6
43661,775,3,2024.994,6
43661,778,2,2024.994,6
43661,711,2,20.1865,6
43661,741,2,818.7,6
43661,776,4,2024.994,6
43661,773,2,2039.994,6
43661,716,2,28.8404,6
43661,777,2,2024.994,6
43661,708,5,20.1865,6
43662,764,3,419.4589,6
43662,770,5,419.4589,6
43662,730,2,183.9382,6
43662,754,4,874.794,6
43662,725,3,183.9382,6
43662,762,5,419.4589,6
43662,765,3,419.4589,6
43662,768,2,419.4589,6
43662,753,1,2146.962,6
43662,756,1,874.794,6
43662,763,3,419.4589,6
43662,732,1,356.898,6
43662,758,6,874.794,6
43662,729,1,183.9382,6
43662,722,3,178.5808,6
43662,749,1,2146.962,6
43662,760,3,419.4589,6
43662,726,1,183.9382,6
43662,733,1,356.898,6
43662,738,1,178.5808,6
43662,766,3,419.4589,6
43662,755,1,874.794,6
43663,760,1,419.4589,4
43664,772,1,2039.994,1
43664,775,4,2024.994,1
43664,714,1,28.8404,1
43664,716,1,28.8404,1
43664,777,2,2024.994,1
43664,771,3,2039.994,1
43664,773,1,2039.994,1
43664,778,1,2024.994,1
43665,711,2,20.1865,1
43665,773,1,2039.994,1
43665,707,1,20.1865,1
43665,715,2,28.8404,1
43665,777,2,2024.994,1
43665,712,2,5.1865,1
43665,775,2,2024.994,1
43665,778,1,2024.994,1
43665,709,6,5.7,1
43665,776,1,2024.994,1
43666,764,1,419.4589,4
43666,753,1,2146.962,4
43666,732,1,356.898,4
43666,756,1,874.794,4
43666,768,2,419.4589,4
43666,766,1,419.4589,4
43667,710,3,5.7,3
43667,773,1,2039.994,3
43667,778,1,2024.994,3
43667,775,1,2024.994,3
43668,756,3,874.794,6
43668,753,2,2146.962,6
43668,760,7,419.4589,6
43668,765,6,419.4589,6
43668,715,6,28.8404,6
43668,730,6,183.9382,6
43668,707,2,20.1865,6
43668,711,2,20.1865,6
43668,754,2,874.794,6
43668,712,4,5.1865,6
43668,729,2,183.9382,6
43668,755,3,874.794,6
43668,761,3,419.4589,6
43668,770,2,419.4589,6
43668,726,3,183.9382,6
43668,764,2,419.4589,6
43668,766,2,419.4589,6
43668,725,2,183.9382,6
43668,716,1,28.8404,6
43668,768,2,419.4589,6
43668,732,4,356.898,6
43668,758,6,874.794,6
43668,762,4,419.4589,6
43668,738,3,178.5808,6
43668,714,4,28.8404,6
43668,722,3,178.5808,6
43668,708,1,20.1865,6
43668,733,3,356.898,6
43668,763,3,419.4589,6
43669,747,1,714.7043,1
43670,710,1,5.7,3
43670,709,2,5.7,3
43670,773,2,2039.994,3
43670,776,1,2024.994,3
43671,753,1,2146.962,1
43671,714,2,28.8404,1
43671,756,1,874.794,1
43671,768,2,419.4589,1
43671,732,2,356.898,1
43671,763,2,419.4589,1
43671,755,2,874.794,1
43671,764,2,419.4589,1
43671,716,1,28.8404,1
43671,711,1,20.1865,1
43671,708,1,20.1865,1
43672,709,6,5.7,6
43672,776,2,2024.994,6
43672,774,1,2039.994,6
43673,754,1,874.794,2
43673,715,3,28.8404,2
43673,729,1,183.9382,2
43673,761,2,419.4589,2
43673,762,1,419.4589,2
43673,738,2,178.5808,2
43673,770,2,419.4589,2
43673,712,1,5.1865,2
43673,708,2,20.1865,2
43673,711,1,20.1865,2
43673,707,4,20.1865,2
43674,758,3,874.794,6
43675,761,4,419.4589,3
43675,711,5,20.1865,3
43675,738,2,178.5808,3
43675,708,1,20.1865,3
43675,762,2,419.4589,3
43675,758,2,874.794,3
43675,712,2,5.1865,3
43675,754,1,874.794,3
43675,715,3,28.8404,3
43676,776,2,2024.994,5
43676,778,2,2024.994,5
43676,710,1,5.7,5
43676,775,3,2024.994,5
43676,709,4,5.7,5
43677,715,3,28.8404,6
43677,753,1,2146.962,6
43677,758,1,874.794,6
43677,770,1,419.4589,6
43677,708,2,20.1865,6
43677,760,4,419.4589,6
43677,765,2,419.4589,6
43677,763,1,419.4589,6
43677,712,5,5.1865,6
43677,707,1,20.1865,6
43677,754,1,874.794,6
43677,729,2,183.9382,6
43678,760,1,419.4589,4
43678,738,2,178.5808,4
43678,765,1,419.4589,4
43678,732,2,356.898,4
43678,762,3,419.4589,4
43678,761,2,419.4589,4
43678,712,3,5.1865,4
43678,708,4,20.1865,4
43678,729,2,183.9382,4
43678,756,1,874.794,4
43678,725,2,183.9382,4
43678,716,1,28.8404,4
43678,770,1,419.4589,4
43678,758,2,874.794,4
43678,715,2,28.8404,4
43678,754,1,874.794,4
43678,755,1,874.794,4
43678,711,3,20.1865,4
43678,707,1,20.1865,4
43679,760,1,419.4589,6
43679,770,2,419.4589,6
43679,715,2,28.8404,6
43680,760,3,419.4589,4
43680,756,2,874.794,4
43680,738,2,178.5808,4
43680,707,4,20.1865,4
43680,729,1,183.9382,4
43680,711,1,20.1865,4
43680,715,2,28.8404,4
