support,itemsets
0.3125,AWC Logo Cap
0.3039772727272727,"Long-Sleeve Logo Jersey, L"
0.2727272727272727,"AWC Logo Cap; Long-Sleeve Logo Jersey, L"
0.2528409090909091,"Sport-100 Helmet, Blue"
0.25,"Road-650 Red, 44"
0.25,"Road-650 Red, 60"
0.25,"Road-650 Red, 62"
0.2471590909090909,"Road-650 Black, 52"
0.23579545454545456,"Sport-100 Helmet, Black"
0.22727272727272727,"LL Road Frame - Black, 52"
0.22443181818181818,"AWC Logo Cap; Sport-100 Helmet, Black"
0.2215909090909091,"Sport-100 Helmet, Red"
0.2215909090909091,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Black"
0.2215909090909091,"Road-650 Black, 58"
0.2215909090909091,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue"
0.21875,"AWC Logo Cap; Sport-100 Helmet, Blue"
0.21875,"AWC Logo Cap; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Black"
0.2159090909090909,"Road-650 Red, 44; Road-650 Black, 52"
0.21306818181818182,"Road-650 Red, 48"
0.21306818181818182,"Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.21306818181818182,"AWC Logo Cap; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue"
0.21022727272727273,"Long-Sleeve Logo Jersey, M"
0.21022727272727273,"AWC Logo Cap; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.20738636363636365,"Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.20738636363636365,"Road-650 Red, 44; Road-650 Red, 60"
0.20738636363636365,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.20738636363636365,"AWC Logo Cap; Sport-100 Helmet, Red"
0.20454545454545456,"Road-650 Red, 60; Road-650 Black, 52"
0.20454545454545456,"AWC Logo Cap; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.20170454545454544,"Road-650 Red, 60; Road-650 Red, 62"
0.20170454545454544,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red"
0.20170454545454544,"AWC Logo Cap; Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.19886363636363635,"AWC Logo Cap; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red"
0.19886363636363635,"Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.19602272727272727,"Road-650 Red, 62; Road-650 Black, 52"
0.19602272727272727,"Road-650 Red, 44; Road-650 Red, 62"
0.19602272727272727,"AWC Logo Cap; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.19602272727272727,"Sport-100 Helmet, Red; Sport-100 Helmet, Blue"
0.19318181818181818,"AWC Logo Cap; Sport-100 Helmet, Red; Sport-100 Helmet, Blue"
0.19318181818181818,"Sport-100 Helmet, Red; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.1903409090909091,"Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L"
0.1903409090909091,"Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Black"
0.1903409090909091,"Sport-100 Helmet, Red; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue"
0.1903409090909091,"Road-650 Red, 62; Road-650 Black, 58"
0.1903409090909091,"Road-650 Red, 62; Road-650 Red, 48"
0.1903409090909091,"AWC Logo Cap; Long-Sleeve Logo Jersey, M"
0.1903409090909091,"AWC Logo Cap; Sport-100 Helmet, Red; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.1875,"Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Black"
0.1875,"AWC Logo Cap; Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L"
0.1875,"Sport-100 Helmet, Red; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.1875,"AWC Logo Cap; Sport-100 Helmet, Red; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue"
0.1875,"Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Red"
0.1875,"AWC Logo Cap; Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Black"
0.1846590909090909,"Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.1846590909090909,"AWC Logo Cap; Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Red"
0.1846590909090909,"AWC Logo Cap; Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Black"
0.1846590909090909,"Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red"
0.1846590909090909,"AWC Logo Cap; Sport-100 Helmet, Blue; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.18181818181818182,"AWC Logo Cap; Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red"
0.18181818181818182,"Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.18181818181818182,"Road-650 Red, 44; Road-650 Red, 60; Road-650 Black, 52"
0.18181818181818182,"Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Blue"
0.18181818181818182,"AWC Logo Cap; Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.17897727272727273,"AWC Logo Cap; Long-Sleeve Logo Jersey, L; Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Red; Sport-100 Helmet, Black"
0.17897727272727273,"Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.17897727272727273,"AWC Logo Cap; Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Blue"
0.17897727272727273,"Long-Sleeve Logo Jersey, XL"
0.17897727272727273,"Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue"
0.17897727272727273,"Road-650 Red, 44; Road-650 Red, 48"
0.17897727272727273,"Road-650 Red, 60; Road-650 Black, 58"
0.17897727272727273,"Road-650 Black, 52; Road-650 Black, 58"
0.17613636363636365,"LL Road Frame - Black, 58"
0.17613636363636365,"Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.17613636363636365,"Sport-100 Helmet, Red; Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Blue"
0.17613636363636365,"AWC Logo Cap; Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.17613636363636365,"AWC Logo Cap; Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue"
0.17329545454545456,"Sport-100 Helmet, Red; Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, L; Sport-100 Helmet, Blue"
0.17329545454545456,"Road-650 Red, 44; Road-650 Red, 62; Road-650 Black, 52"
0.17329545454545456,"Sport-100 Helmet, Red; Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Blue; Sport-100 Helmet, Black"
0.17329545454545456,"AWC Logo Cap; Sport-100 Helmet, Red; Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Blue"
0.17329545454545456,"AWC Logo Cap; Sport-100 Helmet, Blue; Long-Sleeve Logo Jersey, L; Long-Sleeve Logo Jersey, M; Sport-100 Helmet, Black"
0.17045454545454544,"Road-650 Red, 60; Road-650 Red, 62; Road-650 Black, 52"
