antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Mountain-500 Silver, 52', 'Mountain-500 Silver, 48', 'Mountain-500 Silver, 40'})","frozenset({'Mountain-500 Silver, 42'})",0.24193548387096775,0.5967741935483871,0.22580645161290322,0.9333333333333332,1.5639639639639638,0.08142559833506763,6.048387096774184,0.4756838905775076
"frozenset({'Mountain-500 Silver, 52', 'Mountain-500 Silver, 44'})","frozenset({'Mountain-500 Silver, 42'})",0.24193548387096775,0.5967741935483871,0.22580645161290322,0.9333333333333332,1.5639639639639638,0.08142559833506763,6.048387096774184,0.4756838905775076
"frozenset({'Mountain-500 Silver, 52', 'Mountain-500 Silver, 44'})","frozenset({'Mountain-500 Silver, 48'})",0.24193548387096775,0.5806451612903226,0.22580645161290322,0.9333333333333332,1.6074074074074072,0.08532778355879289,6.290322580645151,0.49848024316109407
"frozenset({'Mountain-500 Silver, 42', 'Mountain-500 Silver, 44', 'Mountain-500 Silver, 52'})","frozenset({'Mountain-500 Silver, 48'})",0.22580645161290322,0.5806451612903226,0.20967741935483872,0.9285714285714286,1.599206349206349,0.0785639958376691,5.870967741935486,0.483974358974359
"frozenset({'Mountain-500 Silver, 52', 'Mountain-500 Silver, 48', 'Mountain-500 Silver, 44'})","frozenset({'Mountain-500 Silver, 42'})",0.22580645161290322,0.5967741935483871,0.20967741935483872,0.9285714285714286,1.555984555984556,0.0749219562955255,5.645161290322583,0.46153846153846156
"frozenset({'Mountain-500 Silver, 52', 'Mountain-500 Silver, 48'})","frozenset({'Mountain-500 Silver, 42'})",0.4032258064516129,0.5967741935483871,0.3709677419354839,0.92,1.5416216216216216,0.13033298647242456,5.040322580645164,0.5887191539365452
"frozenset({'Mountain-500 Silver, 40', 'Mountain-500 Silver, 52', 'Mountain-500 Silver, 44'})","frozenset({'Mountain-500 Silver, 48'})",0.1935483870967742,0.5806451612903226,0.1774193548387097,0.9166666666666667,1.5787037037037037,0.06503642039542144,5.0322580645161334,0.4545454545454546
"frozenset({'Mountain-500 Silver, 40', 'Mountain-500 Silver, 52', 'Mountain-500 Silver, 44'})","frozenset({'Mountain-500 Silver, 42'})",0.1935483870967742,0.5967741935483871,0.1774193548387097,0.9166666666666667,1.5360360360360361,0.061914672216441216,4.8387096774193585,0.4327272727272728
"frozenset({'Mountain-500 Silver, 40', 'Mountain-500 Silver, 52', 'Mountain-500 Silver, 48', 'Mountain-500 Silver, 44'})","frozenset({'Mountain-500 Silver, 42'})",0.1774193548387097,0.5967741935483871,0.16129032258064516,0.9090909090909091,1.5233415233415233,0.05541103017689905,4.43548387096774,0.41764705882352937
"frozenset({'Mountain-500 Silver, 44', 'Mountain-500 Silver, 42', 'Mountain-500 Silver, 52', 'Mountain-500 Silver, 40'})","frozenset({'Mountain-500 Silver, 48'})",0.1774193548387097,0.5806451612903226,0.16129032258064516,0.9090909090909091,1.5656565656565655,0.058272632674297595,4.612903225806449,0.43921568627450974
"frozenset({'Mountain-500 Silver, 52', 'Mountain-500 Silver, 40'})","frozenset({'Mountain-500 Silver, 42'})",0.2903225806451613,0.5967741935483871,0.25806451612903225,0.8888888888888888,1.4894894894894894,0.08480749219562952,3.6290322580645142,0.46306818181818166
