SpecialOfferID,Description,ProductID,Name,Year,TerritoryID,TotalOrderQuantity,LineTotal
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2012,1,4991168,95447742.767104
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2012,3,4278144,81812350.943232
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2012,4,4991168,95447742.767104
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2012,5,3921632,74994655.031296
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2012,6,8556288,163624701.886464
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2012,7,3921632,74994655.031296
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2013,1,13547456,266436084.50368
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2013,4,26738400,524690836.08614403
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2013,5,4991168,99265926.393088
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2013,6,27451424,545962595.161984
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2013,7,8556288,166897430.708736
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2013,8,4278144,85085079.765504
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2013,10,4991168,99265926.393088
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2014,1,4278144,85085079.765504
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2014,2,3921632,77994656.451712
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2014,3,4991168,99265926.393088
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2014,4,3921632,77994656.451712
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2014,5,4634656,92175503.07929601
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2014,6,13547456,269436085.92409605
2,Volume Discount 11 to 14,707,"Sport-100 Helmet, Red",2014,10,4634656,92175503.07929601
2,Volume Discount 11 to 14,708,"Sport-100 Helmet, Black",2012,1,4936320,94398866.47296001
2,Volume Discount 11 to 14,708,"Sport-100 Helmet, Black",2012,2,5347680,102265438.67904
2,Volume Discount 11 to 14,708,"Sport-100 Helmet, Black",2012,3,4524960,86532294.26687999
2,Volume Discount 11 to 14,708,"Sport-100 Helmet, Black",2012,4,20979360,401195182.51008
2,Volume Discount 11 to 14,708,"Sport-100 Helmet, Black",2012,6,10284000,196664305.152
2,Volume Discount 11 to 14,708,"Sport-100 Helmet, Black",2012,7,5759040,110132010.88511999
2,Volume Discount 11 to 14,708,"Sport-100 Helmet, Black",2013,1,22213440,437382317.67551994
2,Volume Discount 11 to 14,708,"Sport-100 Helmet, Black",2013,2,5347680,106356349.70688
