ProductID,Name,Category,Subcategory,Color,ListPrice
1,Adjustable Race,,,,0
2,Bearing Ball,,,,0
3,BB Ball Bearing,,,,0
4,Headset Ball Bearings,,,,0
5,Saddle 1,,,Red,75.24
6,Saddle 2,,,,68.25
7,Saddle 3,,,Black,80.55
8,Seatpost 1,,,Black,55.25
9,Seatpost 2,,,,0
10,Seatpost 3,,,Blue,0
316,Blade,,,,0
317,LL Crankarm,,,Black,0
318,ML Crankarm,,,Black,0
319,HL Crankarm,,,Black,0
320,Chainring Bolts,,,Silver,0
321,Chainring Nut,,,Silver,0
322,Chainring,,,Black,0
323,Crown Race,,,,0
324,Chain Stays,,,,0
325,Decal 1,,,,0
326,Decal 2,,,,0
327,Down Tube,,,,0
328,Mountain End Caps,,,,0
329,Road End Caps,,,,0
330,Touring End Caps,,,,0
331,Fork End,,,,0
332,Freewheel,,,Silver,0
341,Flat Washer 1,,,,0
342,Flat Washer 6,,,,0
343,Flat Washer 2,,,,0
344,Flat Washer 9,,,,0
345,Flat Washer 4,,,,0
346,Flat Washer 3,,,,0
347,Flat Washer 8,,,,0
348,Flat Washer 5,,,,0
349,Flat Washer 7,,,,0
350,Fork Crown,,,,0
351,Front Derailleur Cage,,,Silver,0
352,Front Derailleur Linkage,,,Silver,0
355,Guide Pulley,,,,0
356,LL Grip Tape,,,,0
357,ML Grip Tape,,,,0
358,HL Grip Tape,,,,0
359,Thin-Jam Hex Nut 9,,,,0
360,Thin-Jam Hex Nut 10,,,,0
361,Thin-Jam Hex Nut 1,,,,0
362,Thin-Jam Hex Nut 2,,,,0
363,Thin-Jam Hex Nut 15,,,,0
364,Thin-Jam Hex Nut 16,,,,0
365,Thin-Jam Hex Nut 5,,,,0
366,Thin-Jam Hex Nut 6,,,,0
367,Thin-Jam Hex Nut 3,,,,0
368,Thin-Jam Hex Nut 4,,,,0
369,Thin-Jam Hex Nut 13,,,,0
370,Thin-Jam Hex Nut 14,,,,0
371,Thin-Jam Hex Nut 7,,,,0
372,Thin-Jam Hex Nut 8,,,,0
373,Thin-Jam Hex Nut 12,,,,0
374,Thin-Jam Hex Nut 11,,,,0
375,Hex Nut 5,,,,0
376,Hex Nut 6,,,,0
377,Hex Nut 16,,,,0
378,Hex Nut 17,,,,0
379,Hex Nut 7,,,,0
380,Hex Nut 8,,,,0
381,Hex Nut 9,,,,0
382,Hex Nut 22,,,,0
383,Hex Nut 23,,,,0
