
DateID,Year,Quarter,Month,Day
1,2011,2,5,31
2,2011,2,6,1
3,2011,2,6,2
4,2011,2,6,3
5,2011,2,6,4
6,2011,2,6,5
7,2011,2,6,6
8,2011,2,6,7
9,2011,2,6,8
10,2011,2,6,9
11,2011,2,6,10
12,2011,2,6,11
13,2011,2,6,12
14,2011,2,6,13
15,2011,2,6,14
16,2011,2,6,15
17,2011,2,6,16
18,2011,2,6,17
19,2011,2,6,18
20,2011,2,6,19
21,2011,2,6,20
22,2011,2,6,21
23,2011,2,6,22
24,2011,2,6,23
25,2011,2,6,24
26,2011,2,6,25
27,2011,2,6,26
28,2011,2,6,27
29,2011,2,6,28
30,2011,2,6,29
31,2011,2,6,30
32,2011,3,7,1
33,2011,3,7,2
34,2011,3,7,3
35,2011,3,7,4
36,2011,3,7,5
37,2011,3,7,6
38,2011,3,7,7
39,2011,3,7,8
40,2011,3,7,9
41,2011,3,7,10
42,2011,3,7,11
43,2011,3,7,12
44,2011,3,7,13
45,2011,3,7,14
46,2011,3,7,15
47,2011,3,7,17
48,2011,3,7,18
49,2011,3,7,19
50,2011,3,7,20
51,2011,3,7,21
52,2011,3,7,22
53,2011,3,7,23
54,2011,3,7,24
55,2011,3,7,25
56,2011,3,7,26
57,2011,3,7,27
58,2011,3,7,28
59,2011,3,7,29
60,2011,3,7,30
61,2011,3,7,31
62,2011,3,8,1
63,2011,3,8,2
64,2011,3,8,3
65,2011,3,8,4
66,2011,3,8,5
67,2011,3,8,6
68,2011,3,8,7
69,2011,3,8,8
70,2011,3,8,9
71,2011,3,8,10
72,2011,3,8,12
73,2011,3,8,13
74,2011,3,8,14
75,2011,3,8,15
76,2011,3,8,16
77,2011,3,8,17
78,2011,3,8,18
79,2011,3,8,19
80,2011,3,8,20
81,2011,3,8,21
82,2011,3,8,22
83,2011,3,8,23
84,2011,3,8,24
85,2011,3,8,25
86,2011,3,8,26
87,2011,3,8,27
88,2011,3,8,28
89,2011,3,8,29
90,2011,3,8,30
91,2011,3,8,31
92,2011,3,9,1
93,2011,3,9,2
94,2011,3,9,3
95,2011,3,9,4
96,2011,3,9,5
97,2011,3,9,6
98,2011,3,9,7
99,2011,3,9,8
100,2011,3,9,9
101,2011,3,9,10
102,2011,3,9,11
103,2011,3,9,12
104,2011,3,9,13
105,2011,3,9,14
106,2011,3,9,15
107,2011,3,9,16
108,2011,3,9,17
109,2011,3,9,18
110,2011,3,9,19
111,2011,3,9,20
112,2011,3,9,21
113,2011,3,9,22
114,2011,3,9,24
115,2011,3,9,25
116,2011,3,9,26
117,2011,3,9,27
118,2011,3,9,28
119,2011,3,9,29
120,2011,3,9,30
121,2011,4,10,1
122,2011,4,10,2
123,2011,4,10,3
124,2011,4,10,4
125,2011,4,10,5
126,2011,4,10,6
127,2011,4,10,7
128,2011,4,10,8
129,2011,4,10,9
130,2011,4,10,10
131,2011,4,10,11
132,2011,4,10,12
133,2011,4,10,13
134,2011,4,10,14
135,2011,4,10,15
136,2011,4,10,16
137,2011,4,10,17
138,2011,4,10,18
139,2011,4,10,19
140,2011,4,10,20
141,2011,4,10,21
142,2011,4,10,22
143,2011,4,10,23
144,2011,4,10,24
145,2011,4,10,25
146,2011,4,10,26
147,2011,4,10,27
148,2011,4,10,28
149,2011,4,10,29
150,2011,4,10,30
151,2011,4,10,31
152,2011,4,11,1
153,2011,4,11,2
154,2011,4,11,3
155,2011,4,11,4
156,2011,4,11,5
157,2011,4,11,6
158,2011,4,11,7
159,2011,4,11,8
160,2011,4,11,9
161,2011,4,11,10
162,2011,4,11,11
163,2011,4,11,12
164,2011,4,11,13
165,2011,4,11,14
166,2011,4,11,15
167,2011,4,11,16
168,2011,4,11,17
169,2011,4,11,18
170,2011,4,11,19
171,2011,4,11,20
172,2011,4,11,21
173,2011,4,11,22
174,2011,4,11,23
175,2011,4,11,24
176,2011,4,11,25
177,2011,4,11,26
178,2011,4,11,27
179,2011,4,11,28
180,2011,4,11,29
181,2011,4,11,30
182,2011,4,12,1
183,2011,4,12,2
184,2011,4,12,3
185,2011,4,12,4
186,2011,4,12,5
187,2011,4,12,6
188,2011,4,12,7
189,2011,4,12,8
190,2011,4,12,9
191,2011,4,12,10
192,2011,4,12,11
193,2011,4,12,12
194,2011,4,12,13
195,2011,4,12,14
196,2011,4,12,15
197,2011,4,12,16
198,2011,4,12,17
199,2011,4,12,18
200,2011,4,12,19
201,2011,4,12,20
202,2011,4,12,21
203,2011,4,12,22
204,2011,4,12,23
205,2011,4,12,24
206,2011,4,12,25
207,2011,4,12,26
208,2011,4,12,27
209,2011,4,12,28
210,2011,4,12,29
211,2011,4,12,30
212,2011,4,12,31
213,2012,1,1,1
214,2012,1,1,2
215,2012,1,1,3
216,2012,1,1,4
217,2012,1,1,5
218,2012,1,1,6
219,2012,1,1,7
220,2012,1,1,8
221,2012,1,1,9
222,2012,1,1,10
223,2012,1,1,11
224,2012,1,1,12
225,2012,1,1,13
226,2012,1,1,14
227,2012,1,1,15
228,2012,1,1,16
229,2012,1,1,17
230,2012,1,1,18
231,2012,1,1,19
232,2012,1,1,20
233,2012,1,1,21
234,2012,1,1,22
235,2012,1,1,23
236,2012,1,1,24
237,2012,1,1,25
238,2012,1,1,26
239,2012,1,1,27
