antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Sport-100 Helmet, Blue'})","frozenset({'Sport-100 Helmet, Black'})",0.9,0.9666666666666667,0.9,1.0,1.0344827586206897,0.030000000000000027,inf,0.3333333333333337
"frozenset({'Sport-100 Helmet, Black'})","frozenset({'Sport-100 Helmet, Blue'})",0.9666666666666667,0.9,0.9,0.9310344827586207,1.0344827586206895,0.030000000000000027,1.449999999999999,1.000000000000001
"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Blue'})","frozenset({'Sport-100 Helmet, Black'})",0.8666666666666667,0.9666666666666667,0.8666666666666667,1.0,1.0344827586206897,0.028888888888888853,inf,0.24999999999999972
"frozenset({'Sport-100 Helmet, Black', 'Sport-100 Helmet, Red'})","frozenset({'Sport-100 Helmet, Blue'})",0.9,0.9,0.8666666666666667,0.962962962962963,1.0699588477366255,0.05666666666666664,2.7000000000000037,0.6538461538461536
"frozenset({'Sport-100 Helmet, Blue'})","frozenset({'Sport-100 Helmet, Black', 'Sport-100 Helmet, Red'})",0.9,0.9,0.8666666666666667,0.962962962962963,1.0699588477366255,0.05666666666666664,2.7000000000000037,0.6538461538461536
"frozenset({'Sport-100 Helmet, Blue'})","frozenset({'Sport-100 Helmet, Red'})",0.9,0.9333333333333333,0.8666666666666667,0.962962962962963,1.0317460317460319,0.026666666666666616,1.8000000000000025,0.30769230769230715
"frozenset({'Sport-100 Helmet, Black', 'Sport-100 Helmet, Blue'})","frozenset({'Sport-100 Helmet, Red'})",0.9,0.9333333333333333,0.8666666666666667,0.962962962962963,1.0317460317460319,0.026666666666666616,1.8000000000000025,0.30769230769230715
"frozenset({'Sport-100 Helmet, Red'})","frozenset({'Sport-100 Helmet, Blue'})",0.9333333333333333,0.9,0.8666666666666667,0.9285714285714286,1.0317460317460319,0.026666666666666616,1.4000000000000004,0.46153846153846073
"frozenset({'Sport-100 Helmet, Red'})","frozenset({'Sport-100 Helmet, Black', 'Sport-100 Helmet, Blue'})",0.9333333333333333,0.9,0.8666666666666667,0.9285714285714286,1.0317460317460319,0.026666666666666616,1.4000000000000004,0.46153846153846073
"frozenset({'Sport-100 Helmet, Black'})","frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Blue'})",0.9666666666666667,0.8666666666666667,0.8666666666666667,0.896551724137931,1.0344827586206897,0.028888888888888853,1.2888888888888888,0.9999999999999989
