antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 60'})",0.6491228070175439,0.6578947368421053,0.47368421052631576,0.7297297297297297,1.1091891891891892,0.046629732225300036,1.2657894736842104,0.2805555555555552
"frozenset({'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 46'})",0.6578947368421053,0.6491228070175439,0.47368421052631576,0.7199999999999999,1.109189189189189,0.046629732225300036,1.2531328320801998,0.28774928774928743
"frozenset({'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 46'})",0.45614035087719296,0.6491228070175439,0.34210526315789475,0.7500000000000001,1.1554054054054055,0.04601415820252386,1.4035087719298251,0.24731182795698928
"frozenset({'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 50'})",0.6491228070175439,0.45614035087719296,0.34210526315789475,0.527027027027027,1.1554054054054053,0.04601415820252386,1.149874686716792,0.3833333333333334
"frozenset({'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 60'})",0.45614035087719296,0.6578947368421053,0.32456140350877194,0.7115384615384616,1.0815384615384616,0.024469067405355482,1.1859649122807017,0.13862249346120306
"frozenset({'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 50'})",0.6578947368421053,0.45614035087719296,0.32456140350877194,0.4933333333333333,1.0815384615384616,0.024469067405355482,1.0734072022160663,0.22037422037422028
"frozenset({'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 46'})",0.32456140350877194,0.6491228070175439,0.2807017543859649,0.8648648648648648,1.3323593864134404,0.07002154509079714,2.596491228070174,0.36931818181818166
"frozenset({'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 60'})",0.34210526315789475,0.6578947368421053,0.2807017543859649,0.8205128205128205,1.247179487179487,0.055632502308402554,1.9060150375939844,0.3012499999999998
"frozenset({'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 46'})",0.45614035087719296,0.47368421052631576,0.2807017543859649,0.6153846153846154,1.2991452991452992,0.0646352723915051,1.3684210526315792,0.4233870967741937
"frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 50'})",0.47368421052631576,0.45614035087719296,0.2807017543859649,0.5925925925925926,1.2991452991452992,0.0646352723915051,1.3349282296650717,0.4375000000000001
"frozenset({'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 60'})",0.6491228070175439,0.32456140350877194,0.2807017543859649,0.4324324324324324,1.3323593864134404,0.07002154509079714,1.1900584795321638,0.7109374999999998
"frozenset({'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 46'})",0.6578947368421053,0.34210526315789475,0.2807017543859649,0.42666666666666664,1.247179487179487,0.055632502308402554,1.1474908200734395,0.5793269230769228
"frozenset({'Touring-1000 Yellow, 54'})","frozenset({'Touring-1000 Yellow, 50'})",0.37719298245614036,0.45614035087719296,0.22807017543859648,0.6046511627906976,1.3255813953488371,0.05601723607263773,1.3756449948400413,0.3943661971830986
"frozenset({'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 54'})",0.45614035087719296,0.37719298245614036,0.22807017543859648,0.5,1.3255813953488371,0.05601723607263773,1.2456140350877192,0.4516129032258064
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 46'})",0.22807017543859648,0.6491228070175439,0.21052631578947367,0.9230769230769231,1.4220374220374221,0.06248076331178823,4.5614035087719325,0.38446969696969696
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 60'})",0.23684210526315788,0.6578947368421053,0.21052631578947367,0.8888888888888888,1.351111111111111,0.054709141274238204,3.078947368421051,0.3405172413793102
"frozenset({'Touring-1000 Yellow, 54'})","frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 46'})",0.37719298245614036,0.47368421052631576,0.21052631578947367,0.5581395348837209,1.178294573643411,0.03185595567867036,1.1911357340720223,0.2429577464788733
"frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 54'})",0.47368421052631576,0.37719298245614036,0.21052631578947367,0.4444444444444444,1.1782945736434107,0.03185595567867036,1.1210526315789473,0.2875
"frozenset({'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 60'})",0.6491228070175439,0.22807017543859648,0.21052631578947367,0.3243243243243243,1.422037422037422,0.06248076331178823,1.142456140350877,0.8458333333333333
"frozenset({'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 46'})",0.6578947368421053,0.23684210526315788,0.21052631578947367,0.31999999999999995,1.351111111111111,0.054709141274238204,1.1222910216718267,0.7596153846153844
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 50'})",0.22807017543859648,0.45614035087719296,0.18421052631578946,0.8076923076923077,1.7707100591715978,0.08017851646660511,2.828070175438597,0.5638528138528139
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 46'})",0.22807017543859648,0.6491228070175439,0.18421052631578946,0.8076923076923077,1.2442827442827442,0.03616497383810402,1.824561403508772,0.2543290043290043
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 60'})",0.22807017543859648,0.6578947368421053,0.18421052631578946,0.8076923076923077,1.2276923076923076,0.034164358264081235,1.7789473684210526,0.24025974025974015
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 50'})",0.23684210526315788,0.45614035087719296,0.18421052631578946,0.7777777777777778,1.7051282051282053,0.07617728531855956,2.447368421052632,0.5418719211822661
"frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 54'})",0.32456140350877194,0.37719298245614036,0.18421052631578946,0.5675675675675675,1.5047140163419233,0.06178824253616495,1.4402412280701753,0.4965986394557822
"frozenset({'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 54'})",0.34210526315789475,0.37719298245614036,0.18421052631578946,0.5384615384615384,1.4275491949910553,0.05517082179132038,1.3494152046783623,0.455238095238095
"frozenset({'Touring-1000 Yellow, 54'})","frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 50'})",0.37719298245614036,0.32456140350877194,0.18421052631578946,0.4883720930232558,1.5047140163419233,0.06178824253616495,1.3201754385964912,0.538564721663313
"frozenset({'Touring-1000 Yellow, 54'})","frozenset({'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 46'})",0.37719298245614036,0.34210526315789475,0.18421052631578946,0.4883720930232558,1.4275491949910553,0.05517082179132038,1.285885167464115,0.4808853118712272
"frozenset({'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 60'})",0.45614035087719296,0.22807017543859648,0.18421052631578946,0.40384615384615385,1.7707100591715978,0.08017851646660511,1.2948500282965478,0.8003072196620583
"frozenset({'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 46'})",0.45614035087719296,0.23684210526315788,0.18421052631578946,0.40384615384615385,1.7051282051282053,0.07617728531855956,1.2801358234295417,0.7603686635944701
"frozenset({'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 50'})",0.6491228070175439,0.22807017543859648,0.18421052631578946,0.28378378378378377,1.2442827442827442,0.03616497383810402,1.0777888116517709,0.5595238095238094
"frozenset({'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 50'})",0.6578947368421053,0.22807017543859648,0.18421052631578946,0.27999999999999997,1.2276923076923076,0.034164358264081235,1.0721247563352827,0.542124542124542
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 46'})",0.18421052631578946,0.6491228070175439,0.16666666666666666,0.9047619047619048,1.3938223938223937,0.047091412742382266,3.6842105263157894,0.3463497453310696
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 60'})",0.18421052631578946,0.6578947368421053,0.16666666666666666,0.9047619047619048,1.3752380952380951,0.04547553093259463,3.5921052631578942,0.3344651952461799
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 50'})",0.21052631578947367,0.45614035087719296,0.16666666666666666,0.7916666666666666,1.7355769230769231,0.07063711911357341,2.6105263157894734,0.536842105263158
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 46'})",0.22807017543859648,0.34210526315789475,0.16666666666666666,0.7307692307692307,2.136094674556213,0.08864265927977838,2.443609022556391,0.6889952153110047
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 46'})",0.22807017543859648,0.47368421052631576,0.16666666666666666,0.7307692307692307,1.5427350427350428,0.05863342566943676,1.9548872180451127,0.45574162679425845
"frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 50'})",0.23684210526315788,0.32456140350877194,0.16666666666666666,0.7037037037037037,2.1681681681681684,0.08979686057248383,2.2796052631578947,0.7059891107078039
"frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 54'})",0.2807017543859649,0.37719298245614036,0.16666666666666666,0.59375,1.5741279069767442,0.060787934749153574,1.5330634278002697,0.5070603337612323
"frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 46'})",0.32456140350877194,0.23684210526315788,0.16666666666666666,0.5135135135135135,2.1681681681681684,0.08979686057248383,1.5687134502923976,0.797676008202324
"frozenset({'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 60'})",0.34210526315789475,0.22807017543859648,0.16666666666666666,0.4871794871794871,2.136094674556213,0.08864265927977838,1.5052631578947366,0.8084210526315788
"frozenset({'Touring-1000 Yellow, 54'})","frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 46'})",0.37719298245614036,0.2807017543859649,0.16666666666666666,0.441860465116279,1.5741279069767442,0.060787934749153574,1.2887426900584793,0.5856189770200149
"frozenset({'Touring-1000 Yellow, 50'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 46'})",0.45614035087719296,0.21052631578947367,0.16666666666666666,0.36538461538461536,1.7355769230769231,0.07063711911357341,1.244019138755981,0.7792869269949068
"frozenset({'Touring-1000 Yellow, 60', 'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 50'})",0.47368421052631576,0.22807017543859648,0.16666666666666666,0.35185185185185186,1.5427350427350428,0.05863342566943676,1.1909774436090226,0.668421052631579
"frozenset({'Touring-1000 Yellow, 46'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 60'})",0.6491228070175439,0.18421052631578946,0.16666666666666666,0.25675675675675674,1.393822393822394,0.047091412742382266,1.0976076555023924,0.8052631578947368
"frozenset({'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 54', 'Touring-1000 Yellow, 50', 'Touring-1000 Yellow, 46'})",0.6578947368421053,0.18421052631578946,0.16666666666666666,0.2533333333333333,1.3752380952380951,0.04547553093259463,1.0925751879699248,0.797570850202429
