support,itemsets
0.17857142857142858,Water Bottle - 30 oz.
0.1663265306122449,Mountain Tire Tube
0.13877551020408163,Patch Kit/8 Patches
0.1306122448979592,"Sport-100 Helmet, Red"
0.12755102040816327,"Sport-100 Helmet, Black"
0.12448979591836734,AWC Logo Cap
0.12346938775510204,"Sport-100 Helmet, Blue"
0.10102040816326531,Fender Set - Mountain
0.09591836734693877,Mountain Bottle Cage
0.08469387755102041,Road Tire Tube
0.08469387755102041,Mountain Bottle Cage; Water Bottle - 30 oz.
0.08163265306122448,"Long-Sleeve Logo Jersey, L"
